                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.53618,                0.99666,                0.43806,                0.94426,                0.89283,                0.68396,                0.76977,                0.66423,                0.89046,                0.67104,                0.76076,                0.62955,                0.50495,                0.97126,                0.44021,                 1.0503,              0.0012608,              0.0012608,              0.0012608
                     58,                0.53128,                0.99189,                  0.431,                0.94696,                 0.9468,                0.65949,                0.77049,                0.67021,                0.94198,                0.65507,                0.77039,                0.64361,                0.49342,                0.90143,                0.43455,                   1.05,              0.0012476,              0.0012476,              0.0012476
                     59,                0.53789,                0.99955,                0.43852,                0.95089,                0.89974,                0.67503,                0.77114,                0.67036,                0.92428,                0.65393,                0.76653,                0.63668,                0.47298,                 0.9311,                0.42361,                 1.0431,              0.0012344,              0.0012344,              0.0012344
                     60,                0.53812,                0.96662,                0.43418,                0.94737,                0.92573,                0.67275,                0.76867,                0.66885,                0.92048,                0.66657,                0.76375,                0.63428,                0.50118,                0.97096,                0.44559,                 1.0571,              0.0012212,              0.0012212,              0.0012212
                     61,                0.53294,                0.99947,                0.43575,                0.94534,                0.91391,                0.67788,                  0.771,                0.67109,                0.91395,                 0.6642,                0.75981,                0.63401,                0.47477,                0.88481,                0.42872,                 1.0436,               0.001208,               0.001208,               0.001208
                     62,                0.53061,                 1.0031,                 0.4322,                0.94695,                0.93999,                0.66477,                0.77482,                0.67865,                0.93511,                0.65727,                 0.7653,                0.63535,                 0.4778,                0.91637,                0.43373,                 1.0408,              0.0011948,              0.0011948,              0.0011948
                     63,                0.52507,                  0.984,                0.43343,                0.94298,                0.89282,                0.69099,                0.77622,                0.67102,                0.90005,                0.67845,                0.76533,                0.63646,                0.47618,                0.90809,                0.43001,                 1.0449,              0.0011816,              0.0011816,              0.0011816
                     64,                0.52357,                  0.989,                0.42928,                0.94938,                0.91303,                0.67632,                0.77758,                0.67223,                0.91261,                0.66534,                  0.769,                0.64342,                0.49778,                0.89822,                 0.4401,                 1.0531,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.5208,                0.98707,                0.42617,                0.94443,                0.93476,                0.66534,                0.78233,                0.68172,                0.92835,                0.66078,                0.77267,                0.64426,                0.48324,                0.87963,                0.42297,                 1.0443,              0.0011552,              0.0011552,              0.0011552
                     66,                0.51564,                0.99642,                0.42249,                0.94081,                0.90577,                0.67959,                0.77852,                0.68017,                0.91603,                0.65928,                0.76514,                0.64493,                0.46948,                0.89957,                0.42037,                 1.0423,               0.001142,               0.001142,               0.001142
                     67,                0.52509,                0.96256,                0.42245,                0.94384,                0.90159,                0.68643,                0.78037,                0.67674,                0.90676,                0.67086,                0.76975,                0.64157,                0.47902,                0.95072,                0.41956,                 1.0397,              0.0011288,              0.0011288,              0.0011288
                     68,                0.52083,                0.99434,                 0.4177,                0.94233,                0.90088,                0.67881,                0.77952,                0.67943,                0.90217,                0.66534,                0.76514,                0.63838,                 0.4778,                 0.8977,                0.42958,                 1.0383,              0.0011156,              0.0011156,              0.0011156
                     69,                0.51338,                0.96603,                0.41865,                0.94262,                0.93458,                0.66705,                 0.7808,                0.68228,                0.92865,                0.66021,                0.76379,                0.64154,                0.47894,                0.90241,                0.41684,                 1.0423,              0.0011024,              0.0011024,              0.0011024
                     70,                0.52422,                0.97331,                0.42867,                0.94546,                0.90808,                 0.6813,                0.77828,                0.68051,                0.91708,                0.67275,                0.76957,                0.64564,                0.47159,                0.91343,                0.43118,                 1.0385,              0.0010892,              0.0010892,              0.0010892
                     71,                0.52015,                0.98859,                0.42355,                0.94429,                0.89014,                0.68831,                0.78161,                0.68468,                0.89324,                 0.6813,                0.77706,                0.64643,                0.46735,                0.88335,                0.41593,                 1.0392,               0.001076,               0.001076,               0.001076
                     72,                0.52786,                0.96981,                0.42534,                0.94429,                0.90312,                0.68529,                0.77959,                 0.6827,                0.91335,                0.67161,                0.77155,                0.64228,                0.46012,                0.88921,                0.40883,                 1.0363,              0.0010628,              0.0010628,              0.0010628
                     73,                0.52001,                0.95943,                0.42312,                 0.9439,                0.91141,                0.68037,                 0.7863,                0.68484,                0.91894,                0.66567,                0.77266,                0.64396,                0.48098,                0.87115,                0.41364,                 1.0406,              0.0010496,              0.0010496,              0.0010496
                     74,                0.51434,                0.95155,                0.41981,                0.94332,                 0.9183,                0.67922,                0.77988,                0.68322,                0.91937,                0.66648,                0.76895,                0.64602,                0.47671,                0.87906,                0.41432,                 1.0415,              0.0010364,              0.0010364,              0.0010364
                     75,                0.51474,                0.95251,                0.42337,                0.94753,                0.90686,                0.68831,                0.78159,                0.68333,                0.90892,                0.67138,                0.76721,                0.63977,                0.48761,                0.86153,                 0.4284,                 1.0424,              0.0010232,              0.0010232,              0.0010232
                     76,                0.51638,                0.94794,                0.41931,                0.94418,                0.90131,                0.68212,                0.77988,                0.68129,                0.91531,                0.65931,                0.76549,                0.64159,                0.46848,                0.87431,                0.42083,                 1.0352,                0.00101,                0.00101,                0.00101
                     77,                0.50766,                0.92635,                0.40943,                0.93569,                0.91607,                 0.6783,                0.78259,                0.68574,                0.91173,                0.67161,                0.77415,                0.64706,                0.46882,                0.85848,                0.41349,                 1.0374,              0.0009968,              0.0009968,              0.0009968
                     78,                 0.5096,                0.95274,                0.41301,                0.93799,                0.91972,                0.68582,                 0.7888,                 0.6848,                0.91527,                0.67742,                0.77372,                0.64957,                0.47353,                  0.868,                 0.4104,                 1.0406,              0.0009836,              0.0009836,              0.0009836
                     79,                0.51077,                0.96731,                0.41693,                0.93743,                 0.9247,                0.67389,                0.78443,                0.68704,                 0.9103,                0.67118,                0.77861,                0.65221,                  0.461,                0.86748,                0.39779,                 1.0333,              0.0009704,              0.0009704,              0.0009704
                     80,                0.50453,                0.94633,                0.41467,                0.93856,                0.91387,                0.69498,                0.78735,                0.68481,                0.91036,                0.67746,                0.77284,                0.64819,                0.47893,                 0.9045,                0.42135,                 1.0357,              0.0009572,              0.0009572,              0.0009572
                     81,                0.50648,                0.97555,                0.41347,                0.93798,                0.90165,                0.68472,                0.78114,                0.68437,                0.92194,                0.65991,                0.77273,                0.64513,                0.46489,                0.88396,                0.40524,                 1.0295,               0.000944,               0.000944,               0.000944
                     82,                 0.5078,                0.94392,                0.40502,                0.93607,                0.90605,                0.69669,                0.78743,                0.68843,                0.90729,                0.68814,                0.77883,                 0.6477,                 0.4703,                0.86853,                0.40997,                 1.0358,              0.0009308,              0.0009308,              0.0009308
                     83,                0.49983,                0.93213,                  0.402,                0.93672,                0.92073,                0.68872,                 0.7854,                0.68635,                0.91155,                0.67845,                0.77341,                0.64211,                0.47095,                0.86798,                0.39957,                 1.0316,              0.0009176,              0.0009176,              0.0009176
                     84,                 0.5005,                0.91522,                0.40706,                0.93434,                0.90085,                0.69042,                0.78504,                0.68907,                0.89905,                0.67674,                0.77931,                0.64633,                0.45966,                0.87748,                0.40338,                 1.0305,              0.0009044,              0.0009044,              0.0009044
                     85,                0.50057,                0.92747,                0.40655,                0.93784,                0.90996,                 0.6927,                0.78995,                0.68974,                 0.9194,                0.66985,                0.77531,                0.65028,                0.46956,                 0.8722,                0.41137,                 1.0348,              0.0008912,              0.0008912,              0.0008912
                     86,                0.49888,                0.93943,                0.40361,                0.93626,                0.91073,                0.69498,                0.78548,                0.68952,                0.91078,                0.68094,                0.77455,                0.64571,                0.46637,                0.86066,                0.40585,                 1.0332,               0.000878,               0.000878,               0.000878
                     87,                0.49937,                0.93786,                0.40132,                0.93653,                0.92758,                0.67916,                0.78496,                0.68997,                0.92291,                0.67574,                 0.7776,                0.65033,                0.45786,                0.85817,                 0.3931,                 1.0312,              0.0008648,              0.0008648,              0.0008648
                     88,                0.50002,                0.95161,                0.40517,                0.93455,                 0.9205,                0.67991,                0.78687,                0.69186,                0.93174,                0.66924,                0.77452,                 0.6545,                0.45923,                0.85882,                0.40098,                 1.0287,              0.0008516,              0.0008516,              0.0008516
