                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.43251,                0.81927,                0.42169,                0.94541,                0.88531,                0.76454,                0.86323,                0.76795,                0.89961,                0.75099,                0.85519,                0.72668,                0.47028,                0.93598,                0.52255,                0.73508,              0.0004556,              0.0004556,              0.0004556
                     80,                0.42594,                0.83431,                0.41454,                0.94701,                0.92393,                0.73398,                0.86165,                0.76575,                 0.9283,                0.73813,                 0.8532,                0.72448,                0.47632,                0.94306,                0.52336,                0.73993,              0.0004358,              0.0004358,              0.0004358
                     81,                0.43522,                0.85082,                0.41813,                0.95368,                0.89966,                0.74743,                0.86089,                0.76628,                0.90661,                0.74167,                 0.8556,                0.72757,                0.48168,                0.94894,                0.53422,                0.74511,               0.000416,               0.000416,               0.000416
                     82,                0.43519,                0.82427,                0.41613,                0.95221,                0.90184,                  0.752,                0.85901,                 0.7657,                0.90513,                0.75067,                0.85308,                0.72751,                 0.4787,                0.91693,                0.53432,                0.74242,              0.0003962,              0.0003962,              0.0003962
                     83,                0.42553,                0.80559,                0.40982,                0.94898,                0.90887,                0.74344,                0.86339,                0.76952,                0.92203,                0.74158,                0.85636,                0.72723,                0.47346,                0.94754,                0.52517,                 0.7344,              0.0003764,              0.0003764,              0.0003764
                     84,                0.41946,                0.79254,                0.40786,                0.94511,                0.91983,                0.72611,                0.86133,                0.76864,                0.92233,                0.73118,                0.85697,                0.72739,                0.47077,                0.95859,                0.52804,                0.73898,              0.0003566,              0.0003566,              0.0003566
                     85,                0.42089,                0.78882,                 0.4086,                0.94509,                0.90555,                0.74458,                0.86287,                0.76857,                0.90742,                0.74743,                0.85712,                0.72932,                0.47664,                0.95422,                0.52581,                0.74036,              0.0003368,              0.0003368,              0.0003368
                     86,                0.42153,                 0.8291,                 0.4047,                0.94516,                0.89035,                0.74857,                0.86093,                0.77044,                0.90548,                0.74344,                0.85741,                0.72697,                0.46489,                 0.9495,                0.52523,                0.73031,               0.000317,               0.000317,               0.000317
                     87,                0.41491,                0.79584,                 0.4033,                0.94204,                0.90945,                0.73294,                0.86079,                0.76875,                0.91404,                0.73717,                0.85672,                0.73153,                0.47085,                0.92833,                0.52901,                0.73629,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.4251,                 0.8056,                 0.4101,                0.94547,                0.88827,                0.76055,                 0.8649,                0.77028,                0.91271,                0.74629,                0.85952,                0.73124,                0.47013,                0.94861,                0.52162,                0.73761,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.4134,                0.76368,                0.39286,                0.94212,                0.87812,                0.76403,                0.86285,                0.77129,                0.91039,                0.73945,                 0.8547,                0.72889,                0.46606,                0.95179,                0.52839,                0.73621,              0.0002576,              0.0002576,              0.0002576
                     90,                0.41785,                0.78118,                0.39607,                0.94285,                0.89425,                0.75542,                0.86343,                0.77314,                0.91032,                0.74652,                0.85842,                0.73163,                 0.4584,                 0.9515,                0.52104,                0.72378,              0.0002378,              0.0002378,              0.0002378
